COD_COMUNA_JOIN,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS
13110,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,2855
13110,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,3459
13110,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,2882
13110,VACUNA VPH 4 BASICO,VPH_4basico,4614
13110,VACUNA VPH 5 BASICO,VPH_5basico,4040
13111,VACUNA BCG,BCG_RN,796
13111,VACUNA DTPA 1 BASICO,dTpa_1basico,1140
13111,VACUNA DTPA 8 BASICO,dTpa_8basico,1184
13111,VACUNA DTPA GESTANTES,dTpa_Gestantes,858
13111,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1048
13111,VACUNA HEPATITIS B RN,HepB_RN,792
13111,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,938
13111,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,962
13111,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,968
13111,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1051
13111,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,1004
13111,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,945
13111,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,967
13111,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,181
13111,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,941
13111,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,965
13111,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1011
13111,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,869
13111,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1009
13111,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,973
13111,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,1043
13111,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,980
13111,VACUNA VPH 4 BASICO,VPH_4basico,1284
13111,VACUNA VPH 5 BASICO,VPH_5basico,1105
13112,VACUNA BCG,BCG_RN,1374
13112,VACUNA DTPA 1 BASICO,dTpa_1basico,1960
13112,VACUNA DTPA 8 BASICO,dTpa_8basico,1898
13112,VACUNA DTPA GESTANTES,dTpa_Gestantes,1230
13112,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1511
13112,VACUNA HEPATITIS B RN,HepB_RN,1396
13112,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,1345
13112,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,1366
13112,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1394
13112,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1519
13112,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,1430
13112,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,1349
13112,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,1369
13112,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,220
13112,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,1344
13112,VACUNA NEUMOCOCICA CONJUGADA 2DA DOSIS,Cohorte_4M,1367
13112,VACUNA NEUMOCOCICA CONJUGADA REFUERZO,Cohorte_12M,1427
13112,VACUNA NEUMOCOCICA POLISACARIDA,Neumococica_Polisacarida_65,856
13112,VACUNA SRP (TRIVIRICA) 1RA DOSIS,Cohorte_12M,1452
13112,VACUNA SRP (TRIVIRICA) 2DA DOSIS,Cohorte_36M,1393
13112,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,1509
13112,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,1400
